2146268	Toowoomba	Toowoomba	-27.56056	151.95386	AU	Australia/Brisbane
2147714	Sydney	Sydney	-33.86785	151.20732	AU	Australia/Sydney
2151437	Rockhampton	Rockhampton	-23.38032	150.50595	AU	Australia/Brisbane
2154787	Nowra	Nowra	-34.88422	150.60036	AU	Australia/Sydney
2155472	Newcastle	Newcastle	-32.92715	151.77647	AU	Australia/Sydney
2158177	Melbourne	Melbourne	-37.814	144.96332	AU	Australia/Melbourne
2159220	Mackay	Mackay	-21.15345	149.16554	AU	Australia/Brisbane
2160517	Launceston	Launceston	-41.43876	147.13467	AU	Australia/Hobart
2165087	Gold Coast	Gold Coast	-28.00029	153.43088	AU	Australia/Brisbane
2165796	Geelong West	Geelong West	-38.13333	144.35	AU	Australia/Melbourne
2165798	Geelong	Geelong	-38.14711	144.36069	AU	Australia/Melbourne
2171085	Coffs Harbour	Coffs Harbour	-30.29626	153.11351	AU	Australia/Sydney
2171507	Wollongong	Wollongong	-34.424	150.89345	AU	Australia/Sydney
2172517	Canberra	Canberra	-35.28346	149.12807	AU	Australia/Sydney
2172797	Cairns	Cairns	-16.92304	145.76625	AU	Australia/Brisbane
2173323	Bundaberg	Bundaberg	-24.86621	152.3479	AU	Australia/Brisbane
2174003	Brisbane	Brisbane	-27.46794	153.02809	AU	Australia/Brisbane
2176187	Bendigo	Bendigo	-36.75818	144.28024	AU	Australia/Melbourne
2177091	Ballarat	Ballarat	-37.56622	143.84957	AU	Australia/Melbourne
2178174	Albury	Albury	-36.07494	146.92394	AU	Australia/Sydney
2207259	South Brisbane	South Brisbane	-27.48333	153.01667	AU	Australia/Brisbane
6955345	Rainbow Beach	Rainbow Beach	-25.90432	153.09174	AU	Australia/Brisbane
7280463	North Shore	North Shore	-31.40237	152.90185	AU	Australia/Sydney
7281838	Logan City	Logan City	-27.63917	153.10944	AU	Australia/Brisbane
7302259	City of Parramatta	City of Parramatta	-33.81667	151	AU	Australia/Sydney
7302628	Adelaide Hills	Adelaide Hills	-34.91118	138.70735	AU	Australia/Adelaide
146970	Xankǝndi		39.8177	46.7528	AZ	Asia/Baku
147429	Nakhchivan	Nakhchivan	39.20889	45.41222	AZ	Asia/Baku
147622	Lǝnkǝran		38.75428	48.85062	AZ	Asia/Baku
